SI.No. ,DISTRICT,ASSEMBLY CONSTITUENY NAME,VILLAGE PANCHAYAT,BLOCK PANCHAYAT,CORRESPONDING PARLIAMENT CONSTITUENCY,DMK MEMBER / ALLIANCE REPRESENTATIVE
5891,SALEM,Attur,Vadugathampatty,P.N.PALAYAM,Kallakurichi,K. Chinnadurai
5892,SALEM,Attur,P.K.Hills  Keelnadu,P.N.PALAYAM,Kallakurichi,K. Chinnadurai
5893,SALEM,Attur,P.K.Hills  Meelnadu,P.N.PALAYAM,Kallakurichi,K. Chinnadurai
5894,SALEM,Attur,Edayapatty (PART),P.N.PALAYAM,Kallakurichi,K. Chinnadurai
5895,SALEM,Attur,Panamadal,P.N.PALAYAM,Kallakurichi,K. Chinnadurai
5896,SALEM,Attur,Thandanur,P.N.PALAYAM,Kallakurichi,K. Chinnadurai
5897,SALEM,Attur,Vellalapatty,P.N.PALAYAM,Kallakurichi,K. Chinnadurai
5898,SALEM,Attur,Kalleripatty,P.N.PALAYAM,Kallakurichi,K. Chinnadurai
5899,SALEM,Attur,A.Komarapalayam,P.N.PALAYAM,Kallakurichi,K. Chinnadurai
5900,SALEM,Attur,B.Karadipatty,P.N.PALAYAM,Kallakurichi,K. Chinnadurai
5901,SALEM,Attur,Kalyanagiri,P.N.PALAYAM,Kallakurichi,K. Chinnadurai
5902,SALEM,Attur,Kottavadi,P.N.PALAYAM,Kallakurichi,K. Chinnadurai
5903,SALEM,Attur,Sekkadipatty,P.N.PALAYAM,Kallakurichi,K. Chinnadurai
5904,SALEM,Attur,Tamayanur,P.N.PALAYAM,Kallakurichi,K. Chinnadurai
5905,SALEM,Attur,West Rajapalayam,P.N.PALAYAM,Kallakurichi,K. Chinnadurai
5906,SALEM,Attur,A.Karadipatty,P.N.PALAYAM,Kallakurichi,K. Chinnadurai
5907,SALEM,Attur,Ariyapalayam,P.N.PALAYAM,Kallakurichi,K. Chinnadurai
5908,SALEM,Attur,Thalavaipatty,P.N.PALAYAM,Kallakurichi,K. Chinnadurai
5909,SALEM,Attur,Muthagoundanoor,P.N.PALAYAM,Kallakurichi,K. Chinnadurai
5910,SALEM,Attur,Ottapatty,P.N.PALAYAM,Kallakurichi,K. Chinnadurai
5911,SALEM,Attur,Olappady,P.N.PALAYAM,Kallakurichi,K. Chinnadurai
5912,SALEM,Attur,Palaniyapuri,P.N.PALAYAM,Kallakurichi,K. Chinnadurai
5913,SALEM,Attur,Thennampillaiyur,P.N.PALAYAM,Kallakurichi,K. Chinnadurai
5914,SALEM,Attur,Umayalpuram,P.N.PALAYAM,Kallakurichi,K. Chinnadurai
5915,SALEM,Attur,Vaithiyagoundanpudur,P.N.PALAYAM,Kallakurichi,K. Chinnadurai
5916,SALEM,Attur,Veeragoundanoor,P.N.PALAYAM,Kallakurichi,K. Chinnadurai
5917,SALEM,Attur,Chinnakrishnapuram,P.N.PALAYAM,Kallakurichi,K. Chinnadurai
5918,SALEM,Attur,Periyakrishnapuram,P.N.PALAYAM,Kallakurichi,K. Chinnadurai
5919,SALEM,Attur,ARASANATHAM,ATTUR,Kallakurichi,K. Chinnadurai
5920,SALEM,Attur,SEELIAMPATTY,ATTUR,Kallakurichi,K. Chinnadurai
5921,SALEM,Attur,CHOKKANATHAPURAM,ATTUR,Kallakurichi,K. Chinnadurai
5922,SALEM,Attur,EACHAMPATTY,ATTUR,Kallakurichi,K. Chinnadurai
5923,SALEM,Attur,MALLIAKARAI,ATTUR,Kallakurichi,K. Chinnadurai
5924,SALEM,Attur,AMMAMPALAYAM,ATTUR,Kallakurichi,K. Chinnadurai
5925,SALEM,Attur,KALPAGANUR,ATTUR,Kallakurichi,K. Chinnadurai
5926,SALEM,Attur,THULUKANUR,ATTUR,Kallakurichi,K. Chinnadurai
5927,SALEM,Attur,KOOLAMEDU,ATTUR,Kallakurichi,K. Chinnadurai
5928,SALEM,Attur,MANJINI,ATTUR,Kallakurichi,K. Chinnadurai
5929,SALEM,Attur,PAITHUR,ATTUR,Kallakurichi,K. Chinnadurai
5930,SALEM,Attur,PUNGAVADI,ATTUR,Kallakurichi,K. Chinnadurai
5931,SALEM,Attur,VALAIYAMADEVI,ATTUR,Kallakurichi,K. Chinnadurai
5932,SALEM,Attur,AKKICHETTIPALAYAM,ATTUR,Kallakurichi,K. Chinnadurai
5933,SALEM,Attur,APPAMASAMUDRAM,ATTUR,Kallakurichi,K. Chinnadurai
5934,SALEM,Attur,THANDAVARAYAPURAM,ATTUR,Kallakurichi,K. Chinnadurai
5935,SALEM,Attur,KALLANATHAM,ATTUR,Kallakurichi,K. Chinnadurai
5936,SALEM,Attur,KOTHAMPADI,ATTUR,Kallakurichi,K. Chinnadurai
5937,SALEM,Attur,RAMANAICKENPALAYAM,ATTUR,Kallakurichi,K. Chinnadurai
5938,SALEM,Attur,THENNAKUDIPALAYAM,ATTUR,Kallakurichi,K. Chinnadurai
5939,SALEM,Edappadi,SANARAPATTI,NANGAVALLI,Salem,T. Sampath Kumar
5940,SALEM,Edappadi,AVADATHUR,NANGAVALLI,Salem,T. Sampath Kumar
5941,SALEM,Edappadi,KARIKKAPATTI,NANGAVALLI,Salem,T. Sampath Kumar
5942,SALEM,Edappadi,SURAPALLI,NANGAVALLI,Salem,T. Sampath Kumar
5943,SALEM,Edappadi,THORAMANGALAM,NANGAVALLI,Salem,T. Sampath Kumar
5944,SALEM,Edappadi,CHINNASORAGAI,NANGAVALLI,Salem,T. Sampath Kumar
5945,SALEM,Edappadi,PERIYASORAGAI,NANGAVALLI,Salem,T. Sampath Kumar
5946,SALEM,Edappadi,VEERAKKAL,NANGAVALLI,Salem,T. Sampath Kumar
5947,SALEM,Edappadi,Kuttapatti,MECHERI,Salem,T. Sampath Kumar
5948,SALEM,Edappadi,NEDUNGULAM,IDAPPADY,Salem,T. Sampath Kumar
5949,SALEM,Edappadi,AVANIPERUR EAST,IDAPPADY,Salem,T. Sampath Kumar
5950,SALEM,Edappadi,DADHAPURAM,IDAPPADY,Salem,T. Sampath Kumar
5951,SALEM,Edappadi,VELLARIVELLI,IDAPPADY,Salem,T. Sampath Kumar
5952,SALEM,Edappadi,CHETTIMANKURICHI,IDAPPADY,Salem,T. Sampath Kumar
5953,SALEM,Edappadi,VEMBANERI,IDAPPADY,Salem,T. Sampath Kumar
5954,SALEM,Edappadi,CHITTOOR,IDAPPADY,Salem,T. Sampath Kumar
5955,SALEM,Edappadi,ADAIYUR,IDAPPADY,Salem,T. Sampath Kumar
5956,SALEM,Edappadi,IRUPPALI,IDAPPADY,Salem,T. Sampath Kumar
5957,SALEM,Edappadi,PAKKANADU,IDAPPADY,Salem,T. Sampath Kumar
5958,SALEM,Edappadi,PUDUPALAYAM,KONGANAPURAM,Salem,T. Sampath Kumar
5959,SALEM,Edappadi,SAMUDRAM,KONGANAPURAM,Salem,T. Sampath Kumar
5960,SALEM,Edappadi,VELLALAPURAM,KONGANAPURAM,Salem,T. Sampath Kumar
5961,SALEM,Edappadi,ERUMAIPATTI,KONGANAPURAM,Salem,T. Sampath Kumar
5962,SALEM,Edappadi,KATCHUPALLI,KONGANAPURAM,Salem,T. Sampath Kumar
5963,SALEM,Edappadi,KONASAMUDRAM,KONGANAPURAM,Salem,T. Sampath Kumar
5964,SALEM,Edappadi,KORANAMPATTI,KONGANAPURAM,Salem,T. Sampath Kumar
5965,SALEM,Edappadi,THANGAYUR,KONGANAPURAM,Salem,T. Sampath Kumar
5966,SALEM,Edappadi,KURUMBAPATTI,KONGANAPURAM,Salem,T. Sampath Kumar
5967,SALEM,Gangavalli,Naduvalur,GANGAVALLI,Kallakurichi,J. Rekha Priyadharshini
5968,SALEM,Gangavalli,"95, Belur",GANGAVALLI,Kallakurichi,J. Rekha Priyadharshini
5969,SALEM,Gangavalli,Goodamalai,GANGAVALLI,Kallakurichi,J. Rekha Priyadharshini
5970,SALEM,Gangavalli,Manmalai,GANGAVALLI,Kallakurichi,J. Rekha Priyadharshini
5971,SALEM,Gangavalli,Pachamalai,GANGAVALLI,Kallakurichi,J. Rekha Priyadharshini
5972,SALEM,Gangavalli,Thagarapudur,GANGAVALLI,Kallakurichi,J. Rekha Priyadharshini
5973,SALEM,Gangavalli,Anaiyampatty,GANGAVALLI,Kallakurichi,J. Rekha Priyadharshini
5974,SALEM,Gangavalli,Kadambur,GANGAVALLI,Kallakurichi,J. Rekha Priyadharshini
5975,SALEM,Gangavalli,"74, Krishnapuram",GANGAVALLI,Kallakurichi,J. Rekha Priyadharshini
5976,SALEM,Gangavalli,Odhiyathur,GANGAVALLI,Kallakurichi,J. Rekha Priyadharshini
5977,SALEM,Gangavalli,Jangamasamudram,GANGAVALLI,Kallakurichi,J. Rekha Priyadharshini
5978,SALEM,Gangavalli,Kondaiyampalli,GANGAVALLI,Kallakurichi,J. Rekha Priyadharshini
5979,SALEM,Gangavalli,Nagiyampatti,GANGAVALLI,Kallakurichi,J. Rekha Priyadharshini
5980,SALEM,Gangavalli,Ulipuram,GANGAVALLI,Kallakurichi,J. Rekha Priyadharshini
5981,SALEM,Gangavalli,Punalvasal,THALAIVASAL,Kallakurichi,J. Rekha Priyadharshini
5982,SALEM,Gangavalli,Sathappadi,THALAIVASAL,Kallakurichi,J. Rekha Priyadharshini
5983,SALEM,Gangavalli,Thenkumarai,THALAIVASAL,Kallakurichi,J. Rekha Priyadharshini
5984,SALEM,Gangavalli,Arathi   Agraharam,THALAIVASAL,Kallakurichi,J. Rekha Priyadharshini
5985,SALEM,Gangavalli,Deviyakurichi,THALAIVASAL,Kallakurichi,J. Rekha Priyadharshini
5986,SALEM,Gangavalli,Kamakkapalayam,THALAIVASAL,Kallakurichi,J. Rekha Priyadharshini
5987,SALEM,Gangavalli,Manivilundan,THALAIVASAL,Kallakurichi,J. Rekha Priyadharshini
5988,SALEM,Gangavalli,Navakurichi,THALAIVASAL,Kallakurichi,J. Rekha Priyadharshini
5989,SALEM,Gangavalli,Pattudurai,THALAIVASAL,Kallakurichi,J. Rekha Priyadharshini
5990,SALEM,Gangavalli,Thalaivasal,THALAIVASAL,Kallakurichi,J. Rekha Priyadharshini
5991,SALEM,Gangavalli,Aragalur,THALAIVASAL,Kallakurichi,J. Rekha Priyadharshini
5992,SALEM,Gangavalli,Govindampalayam,THALAIVASAL,Kallakurichi,J. Rekha Priyadharshini
5993,SALEM,Gangavalli,Periyeri,THALAIVASAL,Kallakurichi,J. Rekha Priyadharshini
5994,SALEM,Gangavalli,Puliyankurichi,THALAIVASAL,Kallakurichi,J. Rekha Priyadharshini
5995,SALEM,Gangavalli,Sitheri,THALAIVASAL,Kallakurichi,J. Rekha Priyadharshini
5996,SALEM,Gangavalli,Thiyaganur,THALAIVASAL,Kallakurichi,J. Rekha Priyadharshini
5997,SALEM,Gangavalli,Veppampoondi,THALAIVASAL,Kallakurichi,J. Rekha Priyadharshini
5998,SALEM,Gangavalli,Kattukottai,THALAIVASAL,Kallakurichi,J. Rekha Priyadharshini
5999,SALEM,Gangavalli,Sadasivapuram,THALAIVASAL,Kallakurichi,J. Rekha Priyadharshini
6000,SALEM,Gangavalli,Sarvoy,THALAIVASAL,Kallakurichi,J. Rekha Priyadharshini
6001,SALEM,Gangavalli,Sarvoy   Pudur,THALAIVASAL,Kallakurichi,J. Rekha Priyadharshini
6002,SALEM,Gangavalli,Vadakumarai,THALAIVASAL,Kallakurichi,J. Rekha Priyadharshini
6003,SALEM,Gangavalli,East   Rajapalayam,THALAIVASAL,Kallakurichi,J. Rekha Priyadharshini
6004,SALEM,Gangavalli,Iluppanatham,THALAIVASAL,Kallakurichi,J. Rekha Priyadharshini
6005,SALEM,Gangavalli,Kavarpanai,THALAIVASAL,Kallakurichi,J. Rekha Priyadharshini
6006,SALEM,Gangavalli,Lathuvadi,THALAIVASAL,Kallakurichi,J. Rekha Priyadharshini
6007,SALEM,Gangavalli,Navalur,THALAIVASAL,Kallakurichi,J. Rekha Priyadharshini
6008,SALEM,Gangavalli,Pagadapadi,THALAIVASAL,Kallakurichi,J. Rekha Priyadharshini
6009,SALEM,Gangavalli,Thittacherri,THALAIVASAL,Kallakurichi,J. Rekha Priyadharshini
6010,SALEM,Gangavalli,Vellaiyur,THALAIVASAL,Kallakurichi,J. Rekha Priyadharshini
6011,SALEM,Gangavalli,Puthur,THALAIVASAL,Kallakurichi,J. Rekha Priyadharshini
6012,SALEM,Gangavalli,Siruvachur,THALAIVASAL,Kallakurichi,J. Rekha Priyadharshini
6013,SALEM,Gangavalli,Unathur,THALAIVASAL,Kallakurichi,J. Rekha Priyadharshini
6014,SALEM,Gangavalli,Varagur,THALAIVASAL,Kallakurichi,J. Rekha Priyadharshini
6015,SALEM,Gangavalli,Veppanatham,THALAIVASAL,Kallakurichi,J. Rekha Priyadharshini
6016,SALEM,Mettur,SAMPALLI,KOLATHUR,Dharmapuri,S. Sreenivasaperumal
6017,SALEM,Mettur,KARUNGALLUR,KOLATHUR,Dharmapuri,S. Sreenivasaperumal
6018,SALEM,Mettur,KAVERIPURAM,KOLATHUR,Dharmapuri,S. Sreenivasaperumal
6019,SALEM,Mettur,ALAMARATHUPATTI,KOLATHUR,Dharmapuri,S. Sreenivasaperumal
6020,SALEM,Mettur,CHITHIRAIPATTIPUDUR,KOLATHUR,Dharmapuri,S. Sreenivasaperumal
6021,SALEM,Mettur,DHINNAPATTI,KOLATHUR,Dharmapuri,S. Sreenivasaperumal
6022,SALEM,Mettur,KANNAMOOCHI,KOLATHUR,Dharmapuri,S. Sreenivasaperumal
6023,SALEM,Mettur,LAKKAMPATTI,KOLATHUR,Dharmapuri,S. Sreenivasaperumal
6024,SALEM,Mettur,PALAMALAI,KOLATHUR,Dharmapuri,S. Sreenivasaperumal
6025,SALEM,Mettur,PANNAVADI,KOLATHUR,Dharmapuri,S. Sreenivasaperumal
6026,SALEM,Mettur,SINGIRIPATTI,KOLATHUR,Dharmapuri,S. Sreenivasaperumal
6027,SALEM,Mettur,MOOLAKKADU,KOLATHUR,Dharmapuri,S. Sreenivasaperumal
6028,SALEM,Mettur,NAVAPATTI,KOLATHUR,Dharmapuri,S. Sreenivasaperumal
6029,SALEM,Mettur,KOLNAICKENPATTI,KOLATHUR,Dharmapuri,S. Sreenivasaperumal
6030,SALEM,Mettur,GONUR,NANGAVALLI,Dharmapuri,S. Sreenivasaperumal
6031,SALEM,Mettur,Thethigiripatti,MECHERI,Dharmapuri,S. Sreenivasaperumal
6032,SALEM,Mettur,Vellar,MECHERI,Dharmapuri,S. Sreenivasaperumal
6033,SALEM,Mettur,Amaram,MECHERI,Dharmapuri,S. Sreenivasaperumal
6034,SALEM,Mettur,Banapuram,MECHERI,Dharmapuri,S. Sreenivasaperumal
6035,SALEM,Mettur,Bukkampatti,MECHERI,Dharmapuri,S. Sreenivasaperumal
6036,SALEM,Mettur,Koppampatti,MECHERI,Dharmapuri,S. Sreenivasaperumal
6037,SALEM,Mettur,M. Kalipatti,MECHERI,Dharmapuri,S. Sreenivasaperumal
6038,SALEM,Mettur,Mallikundam,MECHERI,Dharmapuri,S. Sreenivasaperumal
6039,SALEM,Mettur,Sathapadi,MECHERI,Dharmapuri,S. Sreenivasaperumal
6040,SALEM,Mettur,Pottaneri,MECHERI,Dharmapuri,S. Sreenivasaperumal
6041,SALEM,Mettur,M. N. Patti,MECHERI,Dharmapuri,S. Sreenivasaperumal
6042,SALEM,Mettur,Pallipatti,MECHERI,Dharmapuri,S. Sreenivasaperumal
6043,SALEM,Mettur,Koonandiyur,MECHERI,Dharmapuri,S. Sreenivasaperumal
6044,SALEM,Mettur,Virudhasampatti,MECHERI,Dharmapuri,S. Sreenivasaperumal
6045,SALEM,Mettur,Aranganoor,MECHERI,Dharmapuri,S. Sreenivasaperumal
6046,SALEM,Mettur,Olaipatti,MECHERI,Dharmapuri,S. Sreenivasaperumal
6047,SALEM,Omalur,Kottamariammankoil,OMALUR,Salem,R. Rajendran (District Context)
6048,SALEM,Omalur,M. Chettipatti,OMALUR,Salem,R. Rajendran (District Context)
6049,SALEM,Omalur,Pachanampatti,OMALUR,Salem,R. Rajendran (District Context)
6050,SALEM,Omalur,Thindamangalam,OMALUR,Salem,R. Rajendran (District Context)
6051,SALEM,Omalur,Thumbipadi,OMALUR,Salem,R. Rajendran (District Context)
6052,SALEM,Omalur,Periyeripatti,OMALUR,Salem,R. Rajendran (District Context)
6053,SALEM,Omalur,Tholasampatti,OMALUR,Salem,R. Rajendran (District Context)
6054,SALEM,Omalur,U. Maramangalam,OMALUR,Salem,R. Rajendran (District Context)
6055,SALEM,Omalur,Gollapatti,OMALUR,Salem,R. Rajendran (District Context)
6056,SALEM,Omalur,Moogilpadi,OMALUR,Salem,R. Rajendran (District Context)
6057,SALEM,Omalur,Naranampalayam,OMALUR,Salem,R. Rajendran (District Context)
6058,SALEM,Omalur,S. Chettipatti,OMALUR,Salem,R. Rajendran (District Context)
6059,SALEM,Omalur,Thekkampatti,OMALUR,Salem,R. Rajendran (District Context)
6060,SALEM,Omalur,Vellalapatti,OMALUR,Salem,R. Rajendran (District Context)
6061,SALEM,Omalur,Balbakki,OMALUR,Salem,R. Rajendran (District Context)
6062,SALEM,Omalur,Ettikuttapatti,OMALUR,Salem,R. Rajendran (District Context)
6063,SALEM,Omalur,Kamalapuram,OMALUR,Salem,R. Rajendran (District Context)
6064,SALEM,Omalur,Kottamettupatti,OMALUR,Salem,R. Rajendran (District Context)
6065,SALEM,Omalur,Pottipuram,OMALUR,Salem,R. Rajendran (District Context)
6066,SALEM,Omalur,Puliampatti,OMALUR,Salem,R. Rajendran (District Context)
6067,SALEM,Omalur,Sangeethapatti,OMALUR,Salem,R. Rajendran (District Context)
6068,SALEM,Omalur,Sikkanampatti,OMALUR,Salem,R. Rajendran (District Context)
6069,SALEM,Omalur,Thathiyampatti,OMALUR,Salem,R. Rajendran (District Context)
6070,SALEM,Omalur,Sikkampatty,OMALUR,Salem,R. Rajendran (District Context)
6071,SALEM,Omalur,MANATHAL,THARAMANGALAM,Salem,R. Rajendran (District Context)
6072,SALEM,Omalur,ARIYAMPATTI,THARAMANGALAM,Salem,R. Rajendran (District Context)
6073,SALEM,Omalur,ARURPATTI,THARAMANGALAM,Salem,R. Rajendran (District Context)
6074,SALEM,Omalur,RAMIREDDIPATTI,THARAMANGALAM,Salem,R. Rajendran (District Context)
6075,SALEM,Omalur,SELAVADAI,THARAMANGALAM,Salem,R. Rajendran (District Context)
6076,SALEM,Omalur,AMARAGUNDHI,THARAMANGALAM,Salem,R. Rajendran (District Context)
6077,SALEM,Omalur,MALLIKUTTAI,THARAMANGALAM,Salem,R. Rajendran (District Context)
6078,SALEM,Omalur,KANJANAICKENPATTI,"KADAYAAMPATTI
",Salem,R. Rajendran (District Context)
6079,SALEM,Omalur,KOOKUTTAPATTI,"KADAYAAMPATTI
",Salem,R. Rajendran (District Context)
6080,SALEM,Omalur,PANNAPATTI,"KADAYAAMPATTI
",Salem,R. Rajendran (District Context)
6081,SALEM,Omalur,POOSARIPATTI,"KADAYAAMPATTI
",Salem,R. Rajendran (District Context)
6082,SALEM,Omalur,GUNDUKKAL,"KADAYAAMPATTI
",Salem,R. Rajendran (District Context)
6083,SALEM,Omalur,NADUPATTI,"KADAYAAMPATTI
",Salem,R. Rajendran (District Context)
6084,SALEM,Omalur,DEEVATTIPATTI,"KADAYAAMPATTI
",Salem,R. Rajendran (District Context)
6085,SALEM,Omalur,UMBLICKAMPATTI,"KADAYAAMPATTI
",Salem,R. Rajendran (District Context)
6086,SALEM,Omalur,BOMMIYAMPATTI,"KADAYAAMPATTI
",Salem,R. Rajendran (District Context)
6087,SALEM,Omalur,DANISHPET,"KADAYAAMPATTI
",Salem,R. Rajendran (District Context)
6088,SALEM,Omalur,VEPPILAI,"KADAYAAMPATTI
",Salem,R. Rajendran (District Context)
6089,SALEM,Omalur,KARUVALLI,"KADAYAAMPATTI
",Salem,R. Rajendran (District Context)
6090,SALEM,Omalur,KONGUPATTI,"KADAYAAMPATTI
",Salem,R. Rajendran (District Context)
6091,SALEM,Omalur,SEMMANDAPATTI,"KADAYAAMPATTI
",Salem,R. Rajendran (District Context)
6092,SALEM,Omalur,MOOKANUR,"KADAYAAMPATTI
",Salem,R. Rajendran (District Context)
6093,SALEM,Omalur,DHARAPURAM,"KADAYAAMPATTI
",Salem,R. Rajendran (District Context)
6094,SALEM,Omalur,KANAVAIPUDUR,"KADAYAAMPATTI
",Salem,R. Rajendran (District Context)
6095,SALEM,Salem (West),SELATHAMPATTI,SALEM,Salem,A. Rajendran
6096,SALEM,Salem (West),DHALAVAIPATTI,SALEM,Salem,A. Rajendran
6097,SALEM,Salem (West),MALLAMOOPPAMPATTI,SALEM,Salem,A. Rajendran
6098,SALEM,Salem (West),SARKARGOLLAPATTI,SALEM,Salem,A. Rajendran
6099,SALEM,Salem (West),CHETTICHAVADI,SALEM,Salem,A. Rajendran
6100,SALEM,Salem (West),KONDAPPANAICKENPATTI,SALEM,Salem,A. Rajendran
6101,SALEM,Salem (West),AYYAMPERUMAMPATTI,SALEM,Salem,A. Rajendran
6102,SALEM,Salem (West),M.  Palapatti,AYOTHIYAPATTINAM,Salem,A. Rajendran
6103,SALEM,Salem (West),Kottagoundampatti,OMALUR,Salem,A. Rajendran
6104,SALEM,Salem (West),Pagalpatti,OMALUR,Salem,A. Rajendran
6105,SALEM,Salem (West),Sellapillaikuttai,OMALUR,Salem,A. Rajendran
6106,SALEM,Salem (West),Manguppai,OMALUR,Salem,A. Rajendran
6107,SALEM,Salem (West),Muthunaikenpatti,OMALUR,Salem,A. Rajendran
6108,SALEM,Salem (West),Nallagoundampatti,OMALUR,Salem,A. Rajendran
6109,SALEM,Salem (West),Saminaikenpatti,OMALUR,Salem,A. Rajendran
6110,SALEM,Salem (West),Vellakkalpatti,OMALUR,Salem,A. Rajendran
6111,SALEM,Salem (West),Semmankoodal,OMALUR,Salem,A. Rajendran
6112,SALEM,Salem (West),ALAGUSAMUDRAM,THARAMANGALAM,Salem,A. Rajendran
6113,SALEM,Salem (West),KARUKKALVADI,THARAMANGALAM,Salem,A. Rajendran
6114,SALEM,Salem (West),T.KONAGAPADI,THARAMANGALAM,Salem,A. Rajendran
6115,SALEM,Sankari,PANIKKANUR,THARAMANGALAM,Namakkal,K.M. Rajesh
6116,SALEM,Sankari,PAPPAMPADI,THARAMANGALAM,Namakkal,K.M. Rajesh
6117,SALEM,Sankari,DESAVILAKKU,THARAMANGALAM,Namakkal,K.M. Rajesh
6118,SALEM,Sankari,EDAYAPATTI,THARAMANGALAM,Namakkal,K.M. Rajesh
6119,SALEM,Sankari,ELAVAMPATTI,THARAMANGALAM,Namakkal,K.M. Rajesh
6120,SALEM,Sankari,KURUKKUPATTI,THARAMANGALAM,Namakkal,K.M. Rajesh
6121,SALEM,Sankari,DUTTAMPATTI,THARAMANGALAM,Namakkal,K.M. Rajesh
6122,SALEM,Sankari,Katheri,SANKARI,Namakkal,K.M. Rajesh
6123,SALEM,Sankari,Pullagoundampatti agraharam.,SANKARI,Namakkal,K.M. Rajesh
6124,SALEM,Sankari,Kaveripatti,SANKARI,Namakkal,K.M. Rajesh
6125,SALEM,Sankari,Koneripatti agraharam,SANKARI,Namakkal,K.M. Rajesh
6126,SALEM,Sankari,Morur West,SANKARI,Namakkal,K.M. Rajesh
6127,SALEM,Sankari,Irugalur,SANKARI,Namakkal,K.M. Rajesh
6128,SALEM,Sankari,Annathanapatti,SANKARI,Namakkal,K.M. Rajesh
6129,SALEM,Sankari,Kottavaradhampatti,SANKARI,Namakkal,K.M. Rajesh
6130,SALEM,Sankari,Sungudivaradhampatti,SANKARI,Namakkal,K.M. Rajesh
6131,SALEM,Sankari,Vadugappatti,SANKARI,Namakkal,K.M. Rajesh
6132,SALEM,Sankari,Kaveripatti agraharam,SANKARI,Namakkal,K.M. Rajesh
6133,SALEM,Sankari,Koneripatti,SANKARI,Namakkal,K.M. Rajesh
6134,SALEM,Sankari,Pullagoundampatti,SANKARI,Namakkal,K.M. Rajesh
6135,SALEM,Sankari,Alathur,SANKARI,Namakkal,K.M. Rajesh
6136,SALEM,Sankari,Chinnagoundanur,SANKARI,Namakkal,K.M. Rajesh
6137,SALEM,Sankari,Mothaiyanur,SANKARI,Namakkal,K.M. Rajesh
6138,SALEM,Sankari,Sanyasipatti agraharam,SANKARI,Namakkal,K.M. Rajesh
6139,SALEM,Sankari,Veerachipalayam,SANKARI,Namakkal,K.M. Rajesh
6140,SALEM,Sankari,Devannagoundanur,SANKARI,Namakkal,K.M. Rajesh
6141,SALEM,Sankari,Iveli,SANKARI,Namakkal,K.M. Rajesh
6142,SALEM,Sankari,Morur East,SANKARI,Namakkal,K.M. Rajesh
6143,SALEM,Sankari,Olakkachinnaanur,SANKARI,Namakkal,K.M. Rajesh
6144,SALEM,Sankari,A.PUDUR,MAC. CHOULTRY,Namakkal,K.M. Rajesh
6145,SALEM,Sankari,GUDALUR,MAC. CHOULTRY,Namakkal,K.M. Rajesh
6146,SALEM,Sankari,KANAGAGIRI,MAC. CHOULTRY,Namakkal,K.M. Rajesh
6147,SALEM,Sankari,KANDARKULAMANICKAM,MAC. CHOULTRY,Namakkal,K.M. Rajesh
6148,SALEM,Sankari,KANNANDERI,MAC. CHOULTRY,Namakkal,K.M. Rajesh
6149,SALEM,Sankari,MAC.DONALD CHOULTRY,MAC. CHOULTRY,Namakkal,K.M. Rajesh
6150,SALEM,Sankari,EGAPURAM,MAC. CHOULTRY,Namakkal,K.M. Rajesh
6151,SALEM,Sankari,AGR.THALAIYUR,MAC. CHOULTRY,Namakkal,K.M. Rajesh
6152,SALEM,Sankari,KALIGOUNDAMPALAYAM,MAC. CHOULTRY,Namakkal,K.M. Rajesh
6153,SALEM,Sankari,VAIKUNDAM,MAC. CHOULTRY,Namakkal,K.M. Rajesh
6154,SALEM,Sankari,NADUVANERI,MAC. CHOULTRY,Namakkal,K.M. Rajesh
6155,SALEM,Sankari,THAPPAKUTTAI,MAC. CHOULTRY,Namakkal,K.M. Rajesh
6156,SALEM,Veerapandi,ERUMAPALAYAM,SALEM,Salem,A.K. Tarun
6157,SALEM,Veerapandi,SANYASIGUNDU,SALEM,Salem,A.K. Tarun
6158,SALEM,Veerapandi,ANDIPATTI,SALEM,Salem,A.K. Tarun
6159,SALEM,Veerapandi,INAMVEDUGATHAMPATTI,SALEM,Salem,A.K. Tarun
6160,SALEM,Veerapandi,THIRUMALAIGIRI,SALEM,Salem,A.K. Tarun
6161,SALEM,Veerapandi,MAJARAGOLLAPATTI,SALEM,Salem,A.K. Tarun
6162,SALEM,Veerapandi,VATTAMUTHAMPATTI,SALEM,Salem,A.K. Tarun
6163,SALEM,Veerapandi,ARIGOUNDAMPATTY,VEERAPANDY,Salem,A.K. Tarun
6164,SALEM,Veerapandi,MURUNGAPATTY,VEERAPANDY,Salem,A.K. Tarun
6165,SALEM,Veerapandi,PERUMAGOUNDAMPATTI,VEERAPANDY,Salem,A.K. Tarun
6166,SALEM,Veerapandi,ANAIKUTTAPATTI,VEERAPANDY,Salem,A.K. Tarun
6167,SALEM,Veerapandi,KALPARAPATTI,VEERAPANDY,Salem,A.K. Tarun
6168,SALEM,Veerapandi,RAKKIPATTI,VEERAPANDY,Salem,A.K. Tarun
6169,SALEM,Veerapandi,SENAIPALAYAM,VEERAPANDY,Salem,A.K. Tarun
6170,SALEM,Veerapandi,VEMBADITHALAM,VEERAPANDY,Salem,A.K. Tarun
6171,SALEM,Veerapandi,POOLAVARI AGRAHARAM,VEERAPANDY,Salem,A.K. Tarun
6172,SALEM,Veerapandi,PUTHUR AGRAHARAM,VEERAPANDY,Salem,A.K. Tarun
6173,SALEM,Veerapandi,UTHAMASOLAPURAM,VEERAPANDY,Salem,A.K. Tarun
